baseline,,orange_1,,blue_1,,green_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
628,-0.02650387958,628,-0.005841671955,628,0.2803771496,628,0.3060666025,
627,-0.02644123882,627,-0.005715638865,627,0.3183402717,627,0.2930776775,
626,-0.02632162906,626,-0.005647216924,626,0.3596141338,626,0.2807471156,
625,-0.02628859133,625,-0.005514430813,625,0.4053000808,625,0.2687337101,
624,-0.0262157321,624,-0.005422918592,624,0.4546147287,624,0.2573516667,
623,-0.02615202591,623,-0.005356445443,623,0.5083445907,623,0.2464457303,
622,-0.02617313154,622,-0.005256920587,622,0.5653216839,622,0.2362542748,
621,-0.02606890537,621,-0.0051238616,621,0.6256604791,621,0.2267302871,
620,-0.02599283867,620,-0.005159061402,620,0.6902121902,620,0.2176846415,
619,-0.02594738826,619,-0.005074331537,619,0.7569691539,619,0.2093691975,
618,-0.02590256743,618,-0.004968344234,618,0.8261683583,618,0.2016298622,
617,-0.02584144846,617,-0.004940909334,617,0.8968678713,617,0.1945081353,
616,-0.02577768639,616,-0.004932156298,616,0.9681929946,616,0.187977016,
615,-0.02582432702,615,-0.00487446459,615,1.039309382,615,0.1819153279,
614,-0.02580886148,614,-0.004902159795,614,1.109077811,614,0.1763953865,
613,-0.02578934655,613,-0.004904565401,613,1.175754428,613,0.1714773774,
612,-0.02578471228,612,-0.004944594577,612,1.239655018,612,0.1668609828,
611,-0.02585339919,611,-0.004997824784,611,1.298210502,611,0.1628049016,
610,-0.02574841306,610,-0.0050092889,610,1.351463914,610,0.1590580791,
609,-0.02574948594,609,-0.005011745263,609,1.39718926,609,0.1557063162,
608,-0.02574524097,608,-0.00504889898,608,1.435363531,608,0.1524298787,
607,-0.02576119639,607,-0.005082109477,607,1.465254545,607,0.1494554579,
606,-0.02574153244,606,-0.005106516648,606,1.485839605,606,0.1466711313,
605,-0.02571074478,605,-0.005106669851,605,1.497095942,605,0.144030869,
604,-0.02566633746,604,-0.005089528859,604,1.498785615,604,0.1414602846,
603,-0.02565189265,603,-0.005054425448,603,1.491099238,603,0.1389507204,
602,-0.02563969046,602,-0.005031704437,602,1.474140406,602,0.1364312768,
601,-0.02557389811,601,-0.004925860092,601,1.448846102,601,0.1339258552,
